date,open,close,high,low,vol,amount
2014-01-24,1.55,1.55,1.55,1.55,5683200,123951528.0
2014-01-27,1.66,1.71,1.71,1.64,13644800,324416672.0
2014-01-28,1.75,1.82,1.85,1.72,18907400,472824864.0
2014-01-29,1.79,1.75,1.82,1.68,11668700,288245984.0
2014-01-30,1.74,1.82,1.93,1.72,10483600,267498224.0
2014-02-07,1.78,2.0,2.0,1.77,12978600,350584960.0
2014-02-10,2.0,2.09,2.19,1.96,12785900,370726080.0
2014-02-11,2.06,2.27,2.28,2.04,12187600,368546720.0
2014-02-12,2.28,2.25,2.43,2.19,12766500,411006336.0
2014-02-13,2.22,2.31,2.43,2.19,11169900,361927680.0
2014-02-14,2.28,2.41,2.41,2.25,9981800,331034848.0
2014-02-17,2.54,2.47,2.58,2.36,9646600,333497856.0
2014-02-18,2.43,2.45,2.58,2.4,9385700,326875200.0
2014-02-19,2.49,2.34,2.49,2.24,7223900,237730080.0
2014-02-20,2.29,2.34,2.41,2.24,4992600,163718000.0
2014-02-21,2.31,2.33,2.34,2.25,3972400,127990448.0
2014-02-24,2.34,2.42,2.42,2.31,4720200,157607424.0
2014-02-25,2.43,2.21,2.53,2.18,7077100,234529792.0
2014-02-26,2.06,2.09,2.17,2.03,5495600,160470672.0
2014-02-27,2.11,2.28,2.3,2.09,10438500,328725152.0
2014-02-28,2.16,2.41,2.42,2.05,9997800,310879328.0
2014-03-03,2.39,2.61,2.65,2.36,11669100,414194688.0
2014-03-04,2.53,2.49,2.75,2.42,11872800,432112000.0
2014-03-05,2.48,2.59,2.72,2.48,10930200,399561376.0
2014-03-06,2.56,2.61,2.7,2.39,9310200,335282144.0
2014-03-07,2.66,2.52,2.78,2.49,9984100,371897536.0
2014-03-10,2.34,2.28,2.42,2.27,7327400,241080720.0
2014-03-11,2.39,2.16,2.39,2.09,5664400,176075744.0
2014-03-12,2.16,2.11,2.19,1.99,6053900,176898960.0
2014-03-13,2.08,2.07,2.1,2.03,4245500,122976640.0
2014-03-14,2.04,2.08,2.11,2.04,3845700,112203024.0
2014-03-17,2.05,2.17,2.18,2.04,4599500,137793232.0
2014-03-18,2.16,2.12,2.21,2.12,5117700,155321040.0
2014-03-19,2.11,2.06,2.11,2.03,3791600,109640704.0
2014-03-20,2.05,1.95,2.07,1.95,3382900,95466800.0
2014-03-21,1.93,1.99,2.02,1.91,2565700,70612768.0
2014-03-24,1.97,1.89,2.01,1.86,3250500,88615072.0
2014-03-25,1.87,1.88,1.9,1.86,2467600,65064860.0
2014-03-26,1.88,1.88,1.92,1.87,2126700,56440428.0
2014-03-27,1.87,1.76,1.87,1.76,3122600,79189616.0
2014-03-28,1.76,1.83,1.85,1.71,4282700,107959352.0
2014-03-31,1.79,1.74,1.83,1.72,2318700,57853996.0
2014-04-01,1.75,1.84,1.84,1.74,2963900,75177856.0
2014-04-02,1.83,1.9,1.92,1.78,4331200,112305344.0
2014-04-03,1.85,1.89,1.95,1.85,4195400,112426424.0
2014-04-04,1.87,1.86,1.89,1.85,2133300,55982188.0
2014-04-08,1.85,1.9,1.91,1.83,2626000,69412640.0
2014-04-09,1.89,1.98,2.05,1.88,4227400,115341504.0
2014-04-10,1.96,1.94,2.03,1.94,3917900,108980728.0
2014-04-11,1.93,1.87,1.93,1.86,2484500,66015408.0
2014-04-14,1.87,1.87,1.9,1.86,1262900,33308882.0
2014-04-15,1.87,1.84,1.88,1.82,1514300,39284744.0
2014-04-16,1.82,1.85,1.87,1.81,1417500,36718596.0
2014-04-17,1.84,1.87,1.89,1.84,1667700,43940204.0
2014-04-18,1.84,1.83,1.85,1.82,1581400,40742372.0
2014-04-21,1.83,1.86,1.91,1.79,2639000,69483952.0
2014-04-22,1.85,1.82,1.89,1.78,1643500,42237416.0
2014-04-23,1.83,1.82,1.86,1.81,1039700,26693996.0
2014-04-24,1.82,1.75,1.83,1.74,1636000,40738204.0
2014-04-25,1.73,1.71,1.76,1.71,996400,24349962.0
2014-04-28,1.68,1.54,1.68,1.54,2351800,51826368.0
2014-04-29,1.51,1.55,1.57,1.5,1633000,35372320.0
2014-04-30,1.55,1.62,1.63,1.53,2286100,50823040.0
2014-05-05,1.6,1.64,1.66,1.58,2334100,53307548.0
2014-05-06,1.63,1.7,1.73,1.62,2745400,65116672.0
2014-05-07,1.7,1.86,1.87,1.66,6777200,172820960.0
2014-05-08,1.82,1.78,1.85,1.77,5223400,132867608.0
2014-05-09,1.78,1.78,1.87,1.77,4288700,110051688.0
2014-05-12,1.78,1.82,1.84,1.69,3869300,96836096.0
2014-05-13,1.8,1.76,1.84,1.75,2550700,64100980.0
2014-05-14,1.74,1.81,1.83,1.73,2457700,61545408.0
2014-05-15,1.79,1.81,1.87,1.79,4311000,111068216.0
2014-05-16,1.81,1.89,1.94,1.78,6130400,160598528.0
2014-05-19,1.86,1.86,1.89,1.8,3935200,101862312.0
2014-05-20,1.89,1.86,1.96,1.84,4796600,128320152.0
2014-05-21,1.83,1.83,1.84,1.79,2708400,69115336.0
2014-05-22,1.82,1.8,1.87,1.8,2431400,62724796.0
2014-05-23,1.78,1.82,1.83,1.78,1709700,43450860.0
2014-05-26,1.87,1.85,1.89,1.83,2366300,61565144.0
2014-05-27,1.84,1.83,1.86,1.82,1850800,47884900.0
2014-05-28,1.83,1.85,1.86,1.82,2172600,56205664.0
2014-05-29,1.85,1.89,1.91,1.85,4309300,113794136.0
2014-05-30,1.89,1.83,1.89,1.8,2869900,74189848.0
2014-06-03,1.83,1.81,1.83,1.8,1472200,37562056.0
2014-06-04,1.81,1.81,1.84,1.79,1272600,32364700.0
2014-06-05,1.81,1.78,1.81,1.74,2336900,58063328.0
2014-06-06,1.78,1.76,1.8,1.75,1338600,33337184.0
2014-06-09,1.75,1.73,1.78,1.73,1075400,26466064.0
2014-06-10,1.74,1.78,1.79,1.73,1475400,36635792.0
2014-06-11,1.77,1.77,1.78,1.75,1178200,29226014.0
2014-06-12,1.77,1.76,1.78,1.76,926200,22984340.0
2014-06-13,1.76,1.93,1.93,1.75,8445600,223762416.0
2014-06-16,1.96,1.99,1.99,1.91,8576400,235421056.0
2014-06-17,1.99,1.92,1.99,1.92,4185700,113713952.0
2014-06-18,1.91,1.92,1.96,1.91,3049300,82446520.0
2014-06-19,1.91,1.79,1.93,1.76,3227400,83085976.0
2014-06-20,1.79,1.84,1.84,1.76,2332000,59364520.0
2014-06-23,1.84,2.03,2.03,1.83,8206500,227881184.0
2014-06-24,2.09,2.16,2.23,2.05,12764100,378007616.0
2014-06-25,2.14,2.23,2.32,2.12,11301100,349736512.0
2014-06-26,2.23,2.32,2.36,2.19,10237300,328535360.0
2014-06-27,2.29,2.29,2.31,2.22,7043000,223349328.0
