code,权息日,类别,分红-前流通盘,配股价-前总股本,送转股-后流通盘,配股-后总股本
002709,20140123,股本变化,0.0,0.0,3010.5,12041.3203125
002709,20140617,除权除息,1.5,0.0,0.0,0.0
002709,20150123,股本变化,3010.5,12041.3203125,5670.77880859375,12041.3203125
002709,20150529,除权除息,1.2000000476837158,0.0,0.0,0.0
002709,20150930,股本变化,5670.77880859375,12041.3203125,5687.5615234375,12254.8701171875
002709,20151112,股本变化,5687.5615234375,12254.8701171875,5687.5615234375,13000.583984375
002709,20160407,股本变化,5687.5615234375,13000.583984375,5725.7587890625,13014.3837890625
002709,20160513,除权除息,1.7999999523162842,0.0,15.0,0.0
002709,20160513,转配股上市,5725.7587890625,13014.3837890625,14314.396484375,32535.9609375
002709,20160630,股本变化,14314.396484375,32535.9609375,14314.2470703125,32535.9609375
002709,20160930,股本变化,14314.2470703125,32535.9609375,14442.5400390625,32535.9609375
002709,20161114,股本变化,14442.5400390625,32535.9609375,16306.826171875,32535.9609375
002709,20161121,股本变化,16306.826171875,32535.9609375,16306.826171875,32504.130859375
002709,20170123,股本变化,16306.826171875,32504.130859375,21240.048828125,32504.130859375
002709,20170210,股本变化,21240.048828125,32504.130859375,17902.27734375,32504.130859375
002709,20170421,股本变化,17902.27734375,32504.130859375,17919.52734375,32504.130859375
002709,20170622,除权除息,2.0,0.0,0.0,0.0
002709,20170802,股本变化,17919.52734375,32504.130859375,18716.021484375,33996.203125
002709,20171009,股本变化,18716.021484375,33996.203125,18861.611328125,33996.203125
002709,20171206,股本变化,18861.611328125,33996.203125,18861.611328125,33966.75390625
002709,20171231,股本变化,18861.611328125,33966.75390625,17959.720703125,33966.75390625
002709,20180508,股本变化,17959.720703125,33966.75390625,17943.978515625,33966.75390625
002709,20180630,股本变化,17943.978515625,33966.75390625,18004.359375,33966.75390625
002709,20180711,除权除息,1.7999999523162842,0.0,0.0,0.0
002709,20180802,股本变化,18004.359375,33966.75390625,19361.4453125,33966.75390625
002709,20181009,股本变化,19361.4453125,33966.75390625,19553.33984375,33966.75390625
002709,20181219,股本变化,19553.33984375,33966.75390625,20421.830078125,33946.96875
002709,20181231,股本变化,20421.830078125,33946.96875,19509.548828125,33946.96875
002709,20190123,股本变化,19509.548828125,33946.96875,33872.36328125,33946.96875
002709,20190322,股本变化,33872.36328125,33946.96875,33872.36328125,34270.26953125
002709,20190630,股本变化,33872.36328125,34270.26953125,22884.66796875,34270.26953125
002709,20190703,除权除息,1.0,0.0,6.0,0.0
code,权息日,类别,分红-前流通盘,配股价-前总股本,送转股-后流通盘,配股-后总股本
002709,20190703,转配股上市,22884.66796875,34270.26953125,54195.78515625,54832.4296875
002709,20200303,股本变化,54195.78515625,54832.4296875,54195.78515625,54851.73046875
002709,20200623,除权除息,0.5,0.0,0.0,0.0
002709,20200630,股本变化,54195.78515625,54851.73046875,36528.828125,54851.73046875
002709,20200710,股本变化,36528.828125,54851.73046875,54195.78515625,54612.9453125
002709,20200803,股本变化,54195.78515625,54612.9453125,54315.1484375,54612.9453125
002709,20201231,股本变化,54315.1484375,54612.9453125,37898.09765625,54612.9453125
002709,20210427,除权除息,2.0,0.0,7.0,0.0
002709,20210427,送配股上市,37898.09765625,54612.9453125,64426.765625,92842.0078125
002709,20210514,股本变化,64426.765625,92842.0078125,92558.5234375,92842.0078125
002709,20210615,股本变化,92558.5234375,92842.0078125,92558.5234375,95290.984375
002709,20210630,股本变化,92558.5234375,95290.984375,66195.3828125,95557.8671875
002709,20210804,股本变化,66195.3828125,95557.8671875,66197.3515625,95256.3046875
002709,20211215,股本变化,66197.3515625,95256.3046875,68646.3359375,95256.3046875
002709,20211227,股本变化,68646.3359375,95256.3046875,92827.3828125,95982.53125
002709,20211231,股本变化,92827.3828125,95982.53125,68633.96875,95982.53125
002709,20220401,股本变化,68633.96875,95982.53125,95548.7578125,96254.921875
002709,20220408,股本变化,95548.7578125,96254.921875,95779.9296875,96254.921875
002709,20220429,股本变化,95779.9296875,96254.921875,95779.9296875,96237.296875
002709,20220516,除权除息,5.0,0.0,10.0,0.0
002709,20220516,转配股上市,95779.9296875,96237.296875,191559.859375,192474.59375
002709,20220630,股本变化,191559.859375,192474.59375,138682.78125,192474.59375
002709,20220906,股本变化,138682.78125,192474.59375,138682.78125,192665.609375
002709,20220907,股本变化,138682.78125,192665.609375,138140.359375,192665.609375
002709,20230331,股本变化,138140.359375,192665.609375,138145.390625,192665.84375
002709,20230417,股本变化,138145.390625,192665.84375,138407.015625,192665.84375
